"","X2019","X2020","X2021","X2022","X2023"
"AFG",7,7,NA,NA,NA
"ALB",2,2,3,NA,NA
"DZA",7,8,7,NA,NA
"AGO",7,7,7,NA,NA
"ATG",2,NA,NA,NA,NA
"ARG",8,8,8,NA,NA
"ARM",5,4,5,NA,NA
"AUS",2,2,2,NA,NA
"AUT",2,2,2,NA,NA
"AZE",6,6,5,NA,NA
"BHS",NA,NA,NA,NA,NA
"BHR",2,2,2,NA,NA
"BGD",7,7,7,NA,NA
"BRB",NA,NA,NA,NA,NA
"BLR",7,8,7,NA,NA
"BEL",4,5,NA,NA,NA
"BLZ",2,3,5,NA,NA
"BEN",NA,NA,NA,NA,NA
"BTN",6,7,NA,NA,NA
"BOL",5,5,NA,NA,NA
"BIH",2,3,3,NA,NA
"BWA",NA,3,NA,NA,NA
"BRA",4,7,6,NA,NA
"BRN",5,5,NA,NA,NA
"BGR",2,2,2,NA,NA
"BFA",6,6,NA,NA,NA
"BDI",5,5,NA,NA,NA
"KHM",3,3,3,NA,NA
"CMR",7,7,6,NA,NA
"CAN",2,2,3,NA,NA
"CPV",7,5,5,NA,NA
"CAF",NA,NA,NA,NA,NA
"TCD",6,5,NA,NA,NA
"CHL",2,2,2,NA,NA
"CHN",8,8,8,8,NA
"HKG",1,1,1,NA,NA
"MAC",NA,NA,NA,NA,NA
"COL",5,5,5,NA,NA
"COM",NA,NA,NA,NA,NA
"ZAR",6,5,6,NA,NA
"COG",NA,5,NA,NA,NA
"CRI",2,2,3,NA,NA
"CIV",5,5,5,NA,NA
"HRV",3,2,3,NA,NA
"CUB",9,9,9,NA,NA
"CYP",0,0,NA,NA,NA
"CZE",2,2,2,NA,NA
"DNK",2,2,2,NA,NA
"DJI",NA,NA,NA,NA,NA
"DMA",NA,NA,NA,NA,NA
"DOM",5,NA,5,NA,NA
"ECU",NA,NA,NA,NA,NA
"EGY",6,6,6,NA,NA
"SLV",NA,NA,NA,NA,NA
"GNQ",6,6,NA,NA,NA
"ERI",NA,NA,NA,NA,NA
"EST",5,NA,NA,NA,NA
"ETH",NA,NA,NA,NA,NA
"FJI",5,5,5,NA,NA
"FIN",1,1,2,NA,NA
"FRA",1,1,1,NA,NA
"GAB",NA,NA,NA,NA,NA
"GMB",NA,NA,NA,NA,NA
"GEO",NA,NA,NA,NA,NA
"DEU",2,2,2,NA,NA
"GHA",5,4,5,NA,NA
"GRC",2,5,5,NA,NA
"GRD",NA,NA,NA,NA,NA
"GTM",3,3,NA,NA,NA
"GNB",NA,NA,NA,NA,NA
"GIN",5,5,NA,NA,NA
"GUY",3,3,4,NA,NA
"HTI",7,NA,NA,NA,NA
"HND",3,3,3,NA,NA
"HUN",2,2,3,NA,NA
"ISL",3,NA,NA,NA,NA
"IND",6,6,6,NA,NA
"IDN",5,5,5,NA,NA
"IRN",8,8,8,NA,NA
"IRQ",7,8,7,NA,NA
"IRL",1,1,1,NA,NA
"ISR",2,2,2,NA,NA
"ITA",2,2,2,NA,NA
"JAM",5,3,5,NA,NA
"JPN",2,2,2,NA,NA
"JOR",2,2,2,NA,NA
"KAZ",3,4,4,NA,NA
"KEN",3,3,4,NA,NA
"KIR",NA,NA,NA,NA,NA
"KOR",5,5,5,NA,NA
"KWT",2,2,2,NA,NA
"KGZ",5,5,5,NA,NA
"LAO",6,7,6,NA,NA
"LVA",2,2,2,NA,NA
"LBN",8,8,8,NA,NA
"LSO",NA,NA,NA,NA,NA
"LBR",5,5,5,NA,NA
"LBY",8,8,8,NA,NA
"LTU",NA,NA,NA,NA,NA
"LUX",1,1,1,NA,NA
"MKD",3,3,4,NA,NA
"MDG",5,6,NA,NA,NA
"MWI",7,6,6,NA,NA
"MYS",4,4,6,NA,NA
"MDV",2,4,5,NA,NA
"MLI",5,5,NA,NA,NA
"MLT",NA,NA,NA,NA,NA
"MRT",NA,NA,NA,NA,NA
"MUS",NA,NA,NA,NA,NA
"MEX",2,3,2,NA,NA
"MDA",NA,NA,NA,NA,NA
"MNG",5,5,NA,NA,NA
"MAR",5,5,NA,NA,NA
"MOZ",4,5,4,NA,NA
"MMR",7,7,7,NA,NA
"NAM",NA,NA,NA,NA,NA
"NAU",NA,NA,NA,NA,NA
"NPL",NA,NA,NA,NA,NA
"NLD",1,3,2,NA,NA
"NZL",2,2,2,4,NA
"NIC",NA,NA,NA,NA,NA
"NER",NA,NA,NA,NA,NA
"NGA",7,7,7,NA,NA
"PRK",10,10,10,10,NA
"NOR",2,2,2,NA,NA
"OMN",NA,NA,NA,NA,NA
"PAK",7,7,6,NA,NA
"PLW",NA,NA,NA,NA,NA
"PAN",5,4,5,NA,NA
"PNG",7,7,6,NA,NA
"PRY",2,2,3,NA,NA
"PER",NA,NA,NA,NA,NA
"PHL",3,3,3,NA,NA
"POL",2,2,2,NA,NA
"PRT",NA,NA,NA,NA,NA
"QAT",2,2,2,NA,NA
"REU",NA,NA,NA,NA,NA
"ROM",2,4,5,NA,NA
"RUS",7,6,6,NA,NA
"RWA",NA,NA,NA,NA,NA
"WSM",NA,NA,NA,NA,NA
"STP",5,5,NA,NA,NA
"SAU",5,NA,NA,NA,NA
"SEN",NA,NA,NA,NA,NA
"SER",NA,NA,NA,NA,NA
"SYC",2,2,3,NA,NA
"SLE",NA,NA,NA,NA,NA
"SIN",1,1,1,NA,NA
"SVK",1,1,NA,NA,NA
"SVN",5,NA,6,NA,NA
"SLB",NA,NA,NA,NA,NA
"SOM",NA,NA,NA,NA,NA
"ZAF",5,5,5,NA,NA
"ESP",NA,NA,NA,NA,NA
"LKA",7,7,7,NA,NA
"KNA",5,5,NA,NA,NA
"LCA",5,5,NA,NA,NA
"VCT",5,NA,NA,NA,NA
"SDN",NA,NA,NA,NA,NA
"SUR",NA,NA,NA,NA,NA
"SWZ",NA,NA,NA,NA,NA
"SWE",1,1,1,2,NA
"CHE",1,1,1,NA,NA
"SYR",10,10,10,NA,NA
"TJK",7,7,6,NA,NA
"TZA",7,7,6,NA,NA
"THA",5,5,5,NA,NA
"TGO",NA,NA,NA,NA,NA
"TON",NA,NA,NA,NA,NA
"TTO",2,2,5,NA,NA
"TUN",7,6,6,NA,NA
"TUR",5,4,5,NA,NA
"TKM",8,8,9,NA,NA
"UGA",7,5,6,NA,NA
"UKR",7,7,7,NA,NA
"UAE",2,2,2,2,NA
"GBR",1,2,2,NA,NA
"USA",1,1,1,2,NA
"URY",2,2,2,NA,NA
"UZB",7,7,7,NA,NA
"VUT",NA,NA,NA,NA,NA
"VEN",10,10,10,NA,NA
"VNM",6,6,6,NA,NA
"WBG",NA,NA,NA,NA,NA
"YEM",8,8,8,NA,NA
"YUG",NA,NA,NA,NA,NA
"ZMB",NA,NA,NA,NA,NA
"ZWE",8,8,8,NA,NA
