"","X2019","X2020","X2021"
"AFG",8,7,7
"ALB",3,2,3
"DZA",7,8,7
"ASM",NA,NA,NA
"AGO",7,7,6
"ATG",NA,3,NA
"ARG",8,8,8
"ARM",5,5,5
"ABW",2,NA,NA
"AUS",2,2,2
"AUT",2,2,2
"AZE",5,5,5
"BHS",NA,NA,NA
"BHR",2,2,2
"BGD",7,7,7
"BRB",NA,NA,NA
"BLR",7,8,8
"BEL",4,5,NA
"BLZ",2,2,5
"BEN",NA,NA,NA
"BMU",NA,NA,NA
"BTN",7,7,7
"BOL",5,6,NA
"BIH",2,2,3
"BWA",3,2,NA
"BRA",5,6,6
"BRN",3,NA,NA
"BGR",2,2,2
"BFA",5,5,NA
"BDI",5,5,NA
"KHM",3,3,4
"CMR",6,6,6
"CAN",2,2,2
"CPV",6,5,5
"CAF",NA,NA,NA
"TCD",6,6,NA
"CHL",2,2,2
"CHN",8,8,8
"HKG",1,1,1
"MAC",NA,NA,NA
"COL",5,5,5
"COM",NA,NA,NA
"ZAR",5,5,6
"COG",NA,NA,NA
"CRI",2,2,3
"CIV",5,5,5
"HRV",3,3,3
"CUB",9,9,9
"CYP",0,0,NA
"CZE",1,2,1
"DNK",2,2,2
"DJI",NA,NA,NA
"DMA",NA,NA,NA
"DOM",2,3,5
"ECU",NA,NA,NA
"EGY",6,6,6
"SLV",5,NA,NA
"GNQ",6,6,NA
"ERI",NA,NA,NA
"EST",3,4,NA
"ETH",NA,NA,NA
"FRO",NA,NA,NA
"FJI",6,3,6
"FIN",1,2,2
"FRA",2,1,2
"PYF",NA,NA,NA
"GAB",NA,NA,NA
"GMB",NA,NA,NA
"GEO",NA,NA,NA
"DEU",2,2,2
"GHA",5,5,5
"GIB",NA,1,NA
"GRC",2,2,2
"GRL",NA,NA,NA
"GRD",NA,NA,NA
"GLP",NA,NA,NA
"GUM",NA,NA,NA
"GTM",3,3,4
"GUF",NA,NA,NA
"GNB",NA,NA,NA
"GIN",5,5,NA
"GUY",2,2,3
"HTI",5,NA,NA
"HND",3,3,5
"HUN",2,2,2
"ISL",2,2,NA
"IND",6,6,6
"IDN",5,6,5
"IRN",8,9,8
"IRQ",8,8,7
"IRL",1,1,1
"ISR",2,2,2
"ITA",2,3,2
"JAM",3,4,4
"JPN",2,2,2
"JOR",2,2,3
"KAZ",3,4,5
"KEN",3,3,5
"KIR",NA,NA,NA
"KOR",4,5,4
"KWT",2,2,2
"KGZ",4,3,5
"LAO",7,6,6
"LVA",1,2,1
"LBN",8,8,8
"LSO",NA,NA,NA
"LBR",5,5,5
"LBY",8,8,7
"LTU",3,1,NA
"LUX",1,1,1
"MKD",3,3,5
"MDG",5,5,NA
"MWI",6,6,6
"MYS",4,4,5
"MDV",4,5,5
"MLI",5,5,NA
"MLT",NA,1,NA
"MTQ",NA,NA,NA
"MRT",NA,NA,NA
"MUS",NA,NA,NA
"MEX",2,2,3
"MDA",5,5,NA
"MNG",5,NA,NA
"MAR",5,6,6
"MOZ",4,5,6
"MMR",7,7,7
"NAM",NA,NA,NA
"NAU",NA,NA,NA
"NPL",NA,NA,NA
"NLD",2,2,2
"ANT",NA,NA,NA
"NCL",NA,NA,NA
"NZL",2,2,2
"NIC",NA,NA,NA
"NER",NA,NA,NA
"NGA",7,7,7
"PRK",10,10,10
"NOR",2,2,2
"OMN",NA,NA,NA
"PAK",7,7,7
"PLW",NA,NA,NA
"PAN",3,4,4
"PNG",6,7,6
"PRY",2,2,2
"PER",NA,NA,NA
"PHL",2,3,3
"POL",2,2,2
"PRT",NA,5,NA
"QAT",2,2,2
"REU",NA,NA,NA
"ROM",2,3,3
"RUS",7,6,7
"RWA",5,5,NA
"WSM",NA,NA,NA
"STP",5,5,5
"SAU",7,NA,NA
"SEN",5,NA,NA
"SER",NA,NA,NA
"SYC",2,2,5
"SLE",NA,NA,NA
"SIN",2,2,2
"SVK",2,1,NA
"SVN",6,7,7
"SLB",NA,NA,NA
"SOM",NA,NA,NA
"ZAF",5,5,6
"ESP",NA,NA,NA
"LKA",7,7,7
"KNA",5,NA,NA
"LCA",3,NA,5
"VCT",3,NA,NA
"SDN",NA,NA,NA
"SUR",NA,NA,NA
"SWZ",NA,NA,NA
"SWE",1,1,1
"CHE",1,1,1
"SYR",9,10,10
"TJK",7,7,6
"TZA",7,7,7
"THA",4,5,5
"TGO",NA,NA,NA
"TON",NA,NA,NA
"TTO",3,2,3
"TUN",6,7,6
"TUR",5,4,6
"TKM",8,9,9
"UGA",5,6,6
"UKR",7,7,7
"UAE",2,2,2
"GBR",2,2,2
"USA",1,1,1
"URY",2,2,2
"UZB",7,7,7
"VUT",NA,NA,NA
"VEN",9,10,10
"VNM",6,6,6
"WBG",NA,NA,NA
"YEM",8,8,8
"YUG",NA,NA,NA
"ZMB",NA,NA,NA
"ZWE",8,8,8
